Census Tract,PM2.5 Score,PM2.5 Weight,Pollution Burden Score,PB Weight,Education Score,Edu Weight,Poverty Score,Pov Weight,Unemployment Score,Unemp Weight,Housing Burden Score,HB Weight,Ling Iso Score,LI Weight,Incarceration Score,Incar Weight,Avg. Energy Burden (% income),Energy Burden Score,EB Weight,Cumulative Weighted Score (Ignore NaNs)
6037920337,4.684797332,,5.04,,8.404840484,,8.00821561,,6.057,,8.99949975,,7.633,,N/A,,2,1.428571429,,0
6037920338,4.748358862,,2.91,,2.02920292,,0.6752830378,,6.451,,3.806903452,,1.564,,0.9201213347,,1,0,,2.547959654
6037920339,4.417005314,,6.49,,0.9290929093,,0.4919346759,,2.111,,2.333166583,,3.766,,1.516683519,,1,0,,1.856749088
6037920340,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,1.557128413,,,N/A,,0
6037920341,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,1.425682508,,,N/A,,0
6037920342,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,6.956521739,,,N/A,,0
6037920343,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,2.477249747,,,N/A,,0
6037930101,5.455871627,,3.9,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,3,2.857142857,,0
6037930200,4.977597166,,6.18,,6.135613561,,6.121631099,,N/A,,N/A,,N/A,,N/A,,2,1.428571429,,0
6037930301,5.256851099,,4.63,,5.534553455,,N/A,,N/A,,N/A,,3.203,,N/A,,3,2.857142857,,0
6037930400,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,3.417593529,,,N/A,,0
6037930401,5.395436074,,5.95,,2.222222222,,1.617072438,,8.039,,5.735867934,,1.486,,N/A,,,N/A,,0
6037980001,6.075857039,,8.08,,N/A,,N/A,,N/A,,N/A,,N/A,,-0.1011122346,,,N/A,,0
6037980002,7.052203814,,9.06,,N/A,,N/A,,N/A,,N/A,,N/A,,9.989888777,,,N/A,,0
6037980003,0.2281963113,,3.16,,N/A,,N/A,,N/A,,N/A,,N/A,,-0.1011122346,,,N/A,,0
6037980004,0.4386787538,,5.26,,N/A,,N/A,,N/A,,N/A,,N/A,,10,,,N/A,,0
6037980005,8.218193185,,7.83,,N/A,,N/A,,N/A,,N/A,,N/A,,-0.1011122346,,,N/A,,0
6037980006,6.305095342,,7.16,,N/A,,N/A,,N/A,,N/A,,N/A,,-0.1011122346,,,N/A,,0
6037980007,6.066479108,,7.88,,N/A,,N/A,,N/A,,N/A,,N/A,,-0.1011122346,,,N/A,,0
6037980008,9.173700115,,6.93,,N/A,,N/A,,N/A,,N/A,,10,,9.73710819,,3,2.857142857,,0
6037980009,6.59060123,,7.99,,N/A,,N/A,,N/A,,N/A,,N/A,,-0.1011122346,,,N/A,,0
6037980010,9.25810149,,8.85,,8.702870287,,8.890892696,,N/A,,10,,9.94,,9.919110212,,4,4.285714286,,0
6037980011,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,9.96966633,,,N/A,,0
6037980012,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,10,,,N/A,,0
6037980013,7.226216526,,8.53,,N/A,,N/A,,N/A,,N/A,,N/A,,9.989888777,,,N/A,,0
6037980014,6.737522142,,8.77,,N/A,,N/A,,N/A,,N/A,,N/A,,9.979777553,,3,2.857142857,,0
6037980015,6.676044597,,7.92,,7.155715572,,3.142971646,,N/A,,N/A,,N/A,,0.1213346815,,2,1.428571429,,0
